[-0.7295, -1.4129, 2.7716, -1.3577, 0.8413, -3.1415]
[-0.6877, -1.3949, 2.7389, -1.343, 0.8831, -3.1415]
[-0.6509, -1.3777, 2.7071, -1.3284, 0.9199, -3.1414]
[-0.6182, -1.3612, 2.676, -1.3139, 0.9526, -3.1414]
[-0.5889, -1.345, 2.6455, -1.2994, 0.9819, -3.1413]
[-0.5624, -1.3293, 2.6153, -1.2851, 1.0084, -3.1413]
[-0.5383, -1.3138, 2.5856, -1.2708, 1.0325, -3.1413]
[-0.5163, -1.2986, 2.5561, -1.2566, 1.0545, -3.1412]
[-0.4962, -1.2836, 2.5268, -1.2423, 1.0746, -3.1412]
[-0.4776, -1.2687, 2.4977, -1.2281, 1.0932, -3.1412]
[-0.4604, -1.2539, 2.4687, -1.2139, 1.1104, -3.1412]
[-0.4445, -1.2392, 2.4398, -1.1997, 1.1263, -3.1412]
[-0.4297, -1.2246, 2.411, -1.1855, 1.1411, -3.1412]
[-0.4158, -1.2101, 2.3822, -1.1712, 1.155, -3.1411]
[-0.4029, -1.1956, 2.3533, -1.1569, 1.1679, -3.1411]
[-0.3907, -1.1811, 2.3245, -1.1426, 1.1801, -3.1411]
[-0.3793, -1.1666, 2.2956, -1.1282, 1.1915, -3.1411]
[-0.3686, -1.1521, 2.2667, -1.1137, 1.2022, -3.1411]
[-0.3584, -1.1376, 2.2377, -1.0992, 1.2124, -3.1411]
[-0.3488, -1.123, 2.2085, -1.0846, 1.222, -3.1411]
[-0.3397, -1.1085, 2.1793, -1.07, 1.231, -3.1411]
[-0.3311, -1.0938, 2.1499, -1.0552, 1.2397, -3.1411]
[-0.323, -1.0792, 2.1205, -1.0408, 1.2476, -3.1416]
[-0.3152, -1.0644, 2.0907, -1.0255, 1.2556, -3.1411]
[-0.3078, -1.0496, 2.0608, -1.0104, 1.263, -3.1411]
[-0.3007, -1.0346, 2.0307, -0.9953, 1.2701, -3.141]
[-0.294, -1.0196, 2.0004, -0.98, 1.2768, -3.141]
[-0.2876, -1.0045, 1.9699, -0.9646, 1.2832, -3.141]
[-0.2814, -0.9893, 1.9391, -0.949, 1.2894, -3.141]
[-0.2755, -0.9739, 1.908, -0.9333, 1.2953, -3.141]
[-0.2699, -0.9584, 1.8767, -0.9174, 1.3009, -3.141]
[-0.2644, -0.9428, 1.845, -0.9014, 1.3064, -3.141]
[-0.2592, -0.927, 1.813, -0.8851, 1.3116, -3.141]
[-0.2542, -0.911, 1.7806, -0.8687, 1.3166, -3.141]
[-0.2494, -0.8949, 1.7478, -0.8521, 1.3214, -3.141]
[-0.2448, -0.8786, 1.7146, -0.8353, 1.326, -3.141]
[-0.2403, -0.862, 1.681, -0.8182, 1.3305, -3.141]
[-0.236, -0.8452, 1.6469, -0.8008, 1.3348, -3.141]
[-0.2319, -0.8282, 1.6122, -0.7829, 1.3397, -3.1415]
[-0.2279, -0.8109, 1.5771, -0.7653, 1.3429, -3.141]
[-0.224, -0.7934, 1.5413, -0.7471, 1.3468, -3.141]
[-0.2203, -0.7755, 1.5049, -0.7286, 1.3505, -3.141]
[-0.2167, -0.7573, 1.4678, -0.7097, 1.3541, -3.141]
[-0.2132, -0.7388, 1.43, -0.6904, 1.3576, -3.141]
[-0.2098, -0.7198, 1.3913, -0.6707, 1.361, -3.141]
[-0.2065, -0.7004, 1.3517, -0.6505, 1.3643, -3.141]
[-0.2034, -0.6806, 1.3112, -0.6298, 1.3674, -3.141]
[-0.2003, -0.6602, 1.2696, -0.6086, 1.3705, -3.141]
[-0.1973, -0.6393, 1.2268, -0.5867, 1.3735, -3.141]
[-0.1944, -0.6178, 1.1828, -0.5642, 1.3764, -3.141]
[-0.1916, -0.5955, 1.1372, -0.5408, 1.3792, -3.141]
[-0.1889, -0.5724, 1.0899, -0.5167, 1.3819, -3.1409]
[-0.1862, -0.5485, 1.0408, -0.4915, 1.3846, -3.1409]
[-0.1836, -0.5235, 0.9895, -0.4652, 1.3872, -3.1409]
[-0.1811, -0.4972, 0.9357, -0.4376, 1.3897, -3.1409]
[-0.1787, -0.4696, 0.8788, -0.4085, 1.3921, -3.1409]
[-0.1763, -0.4401, 0.8184, -0.3774, 1.3945, -3.1409]
[-0.174, -0.4085, 0.7533, -0.344, 1.3968, -3.1409]
[-0.1717, -0.3741, 0.6825, -0.3076, 1.3991, -3.1409]
[-0.1695, -0.3359, 0.6038, -0.2671, 1.4013, -3.1409]
[-0.1674, -0.2922, 0.5136, -0.2206, 1.4034, -3.1409]
