[-0.7295, -1.4754, 2.7647, -1.2882, 0.8413, -3.1415]
[-0.6877, -1.4525, 2.7325, -1.2789, 0.8831, -3.1415]
[-0.6509, -1.4313, 2.7011, -1.2689, 0.9199, -3.1414]
[-0.6182, -1.4112, 2.6704, -1.2582, 0.9526, -3.1414]
[-0.5889, -1.3921, 2.6402, -1.2471, 0.9819, -3.1413]
[-0.5624, -1.3737, 2.6103, -1.2357, 1.0084, -3.1413]
[-0.5383, -1.356, 2.5808, -1.2239, 1.0325, -3.1413]
[-0.5163, -1.3387, 2.5515, -1.2119, 1.0545, -3.1412]
[-0.4962, -1.3218, 2.5224, -1.1998, 1.0746, -3.1412]
[-0.4776, -1.3052, 2.4935, -1.1874, 1.0932, -3.1412]
[-0.4604, -1.289, 2.4647, -1.1748, 1.1104, -3.1412]
[-0.4445, -1.2729, 2.4359, -1.1622, 1.1263, -3.1412]
[-0.4297, -1.257, 2.4072, -1.1493, 1.1411, -3.1412]
[-0.4158, -1.2413, 2.3785, -1.1363, 1.155, -3.1411]
[-0.4029, -1.2257, 2.3498, -1.1232, 1.1679, -3.1411]
[-0.3907, -1.2102, 2.321, -1.11, 1.1801, -3.1411]
[-0.3793, -1.1948, 2.2923, -1.0966, 1.1914, -3.1411]
[-0.3686, -1.1794, 2.2634, -1.0832, 1.2022, -3.1411]
[-0.3584, -1.164, 2.2344, -1.0696, 1.2124, -3.1411]
[-0.3488, -1.1487, 2.2054, -1.0558, 1.222, -3.1411]
[-0.3397, -1.1335, 2.1764, -1.0427, 1.232, -3.1406]
[-0.3311, -1.1181, 2.1469, -1.028, 1.2397, -3.1411]
[-0.323, -1.1027, 2.1174, -1.0138, 1.2478, -3.1411]
[-0.3152, -1.0874, 2.0878, -0.9996, 1.2556, -3.1411]
[-0.3078, -1.072, 2.058, -0.9852, 1.263, -3.141]
[-0.3007, -1.0565, 2.0279, -0.9706, 1.2701, -3.141]
[-0.294, -1.0409, 1.9977, -0.9559, 1.2768, -3.141]
[-0.2876, -1.0253, 1.9672, -0.941, 1.2832, -3.141]
[-0.2814, -1.0096, 1.9364, -0.926, 1.2894, -3.141]
[-0.2755, -0.9938, 1.9054, -0.9107, 1.2953, -3.141]
[-0.2699, -0.9778, 1.8739, -0.8948, 1.3009, -3.1415]
[-0.2644, -0.9618, 1.8424, -0.8797, 1.3064, -3.141]
[-0.2592, -0.9456, 1.8104, -0.8639, 1.3116, -3.141]
[-0.2542, -0.9292, 1.778, -0.8479, 1.3166, -3.141]
[-0.2494, -0.9127, 1.7453, -0.8317, 1.3214, -3.141]
[-0.2448, -0.896, 1.7121, -0.8152, 1.3265, -3.1414]
[-0.2403, -0.8791, 1.6785, -0.7985, 1.3305, -3.141]
[-0.236, -0.862, 1.6444, -0.7815, 1.3348, -3.141]
[-0.2319, -0.8447, 1.6097, -0.7642, 1.3389, -3.141]
[-0.2279, -0.8271, 1.5746, -0.7467, 1.3429, -3.141]
[-0.224, -0.8092, 1.5388, -0.7288, 1.3468, -3.141]
[-0.2203, -0.791, 1.5024, -0.7105, 1.3505, -3.141]
[-0.2167, -0.7726, 1.4653, -0.6919, 1.3541, -3.141]
[-0.2132, -0.7537, 1.4274, -0.6729, 1.3576, -3.141]
[-0.2098, -0.7345, 1.3887, -0.6534, 1.361, -3.141]
[-0.2065, -0.7149, 1.3492, -0.6335, 1.3643, -3.141]
[-0.2034, -0.6948, 1.3086, -0.613, 1.3674, -3.141]
[-0.2003, -0.6742, 1.267, -0.592, 1.3705, -3.141]
[-0.1973, -0.653, 1.2242, -0.5703, 1.3735, -3.141]
[-0.1944, -0.6312, 1.18, -0.548, 1.3764, -3.141]
[-0.1916, -0.6087, 1.1344, -0.5249, 1.3792, -3.1409]
[-0.1889, -0.5854, 1.0871, -0.5009, 1.3819, -3.1409]
[-0.1862, -0.5612, 1.0379, -0.4759, 1.3846, -3.1409]
[-0.1836, -0.5359, 0.9865, -0.4498, 1.3872, -3.1409]
[-0.1811, -0.5094, 0.9325, -0.4223, 1.3897, -3.1409]
[-0.1787, -0.4815, 0.8756, -0.3932, 1.3921, -3.1409]
[-0.1763, -0.4518, 0.8149, -0.3623, 1.3945, -3.1409]
[-0.174, -0.4199, 0.7496, -0.3289, 1.3968, -3.1409]
[-0.1717, -0.3852, 0.6785, -0.2925, 1.3991, -3.1409]
[-0.1695, -0.3466, 0.5993, -0.2519, 1.4013, -3.1409]
[-0.1674, -0.3024, 0.5085, -0.2053, 1.4034, -3.1409]
[-0.7295, -1.4444, 2.7683, -1.3228, 0.8413, -3.1415]
[-0.6877, -1.4239, 2.7359, -1.3109, 0.8831, -3.1415]
[-0.6509, -1.4047, 2.7043, -1.2986, 0.9199, -3.1414]
[-0.6182, -1.3863, 2.6734, -1.2861, 0.9526, -3.1414]
[-0.5889, -1.3687, 2.643, -1.2733, 0.9819, -3.1413]
[-0.5624, -1.3516, 2.613, -1.2604, 1.0084, -3.1413]
[-0.5383, -1.335, 2.5833, -1.2474, 1.0325, -3.1413]
[-0.5163, -1.3188, 2.5539, -1.2343, 1.0545, -3.1412]
[-0.4962, -1.3028, 2.5248, -1.2211, 1.0746, -3.1412]
[-0.4776, -1.287, 2.4957, -1.2078, 1.0932, -3.1412]
[-0.4604, -1.2715, 2.4668, -1.1944, 1.1104, -3.1412]
[-0.4445, -1.2561, 2.438, -1.181, 1.1263, -3.1412]
[-0.4297, -1.2409, 2.4092, -1.1675, 1.1411, -3.1411]
[-0.4158, -1.2258, 2.3804, -1.1538, 1.155, -3.1411]
[-0.4029, -1.2107, 2.3517, -1.1401, 1.1679, -3.1411]
[-0.3907, -1.1957, 2.3229, -1.1263, 1.1801, -3.1411]
[-0.3793, -1.1807, 2.294, -1.1125, 1.1915, -3.1411]
[-0.3686, -1.1658, 2.2651, -1.0985, 1.2022, -3.1411]
[-0.3584, -1.1509, 2.2361, -1.0844, 1.2124, -3.1411]
[-0.3488, -1.1359, 2.2071, -1.0703, 1.222, -3.1411]
[-0.3397, -1.121, 2.1779, -1.056, 1.231, -3.1411]
[-0.3311, -1.106, 2.1485, -1.0416, 1.2396, -3.1411]
[-0.323, -1.091, 2.119, -1.0272, 1.2478, -3.1411]
[-0.3152, -1.076, 2.0893, -1.0125, 1.2556, -3.1411]
[-0.3078, -1.0608, 2.0595, -0.9978, 1.263, -3.141]
[-0.3007, -1.0456, 2.0294, -0.983, 1.2701, -3.141]
[-0.294, -1.0303, 1.9991, -0.968, 1.2768, -3.141]
[-0.2876, -1.015, 1.9686, -0.9528, 1.2832, -3.141]
[-0.2814, -0.9995, 1.9378, -0.9375, 1.2894, -3.141]
[-0.2755, -0.9839, 1.9068, -0.922, 1.2953, -3.141]
[-0.2699, -0.9682, 1.8754, -0.9064, 1.3009, -3.141]
[-0.2644, -0.9523, 1.8438, -0.8906, 1.3064, -3.141]
[-0.2592, -0.9363, 1.8118, -0.8746, 1.3116, -3.141]
[-0.2542, -0.9202, 1.7794, -0.8584, 1.3166, -3.141]
[-0.2494, -0.9039, 1.7468, -0.8425, 1.3211, 3.1415]
[-0.2448, -0.8873, 1.7134, -0.8253, 1.326, -3.141]
[-0.2403, -0.8706, 1.6798, -0.8084, 1.3305, -3.141]
[-0.2361, -0.8536, 1.6455, -0.7904, 1.3339, -3.1416]
[-0.2319, -0.8365, 1.6111, -0.7738, 1.3389, -3.141]
[-0.2279, -0.819, 1.5759, -0.756, 1.3429, -3.141]
[-0.224, -0.8013, 1.5401, -0.738, 1.3468, -3.141]
[-0.2203, -0.7833, 1.5037, -0.7196, 1.3505, -3.141]
[-0.2167, -0.765, 1.4666, -0.7008, 1.3541, -3.141]
[-0.2132, -0.7463, 1.4289, -0.682, 1.3582, 3.1416]
[-0.2098, -0.7272, 1.3901, -0.6621, 1.361, -3.141]
[-0.2065, -0.7077, 1.3505, -0.642, 1.3643, -3.141]
[-0.2034, -0.6878, 1.3102, -0.6221, 1.3679, 3.1416]
[-0.2003, -0.6673, 1.2684, -0.6003, 1.3705, -3.141]
[-0.1973, -0.6462, 1.2256, -0.5786, 1.3735, -3.141]
[-0.1944, -0.6245, 1.1815, -0.5561, 1.3764, -3.1409]
[-0.1916, -0.6021, 1.1359, -0.5329, 1.3792, -3.141]
[-0.1889, -0.579, 1.0886, -0.5088, 1.3819, -3.1409]
[-0.1862, -0.5549, 1.0394, -0.4837, 1.3846, -3.1409]
[-0.1836, -0.5297, 0.9881, -0.4575, 1.3872, -3.1409]
[-0.1811, -0.5034, 0.9342, -0.43, 1.3897, -3.1409]
[-0.1787, -0.4756, 0.8773, -0.4009, 1.3921, -3.1409]
[-0.1763, -0.446, 0.8167, -0.3699, 1.3945, -3.1409]
[-0.174, -0.4143, 0.7516, -0.3365, 1.3968, -3.1409]
[-0.1717, -0.3797, 0.6806, -0.3001, 1.3991, -3.1409]
[-0.1695, -0.3413, 0.6017, -0.2596, 1.4013, -3.1409]
[-0.1674, -0.2974, 0.5112, -0.213, 1.4034, -3.1409]
