[-0.7295, -1.5929, 2.7465, -1.1525, 0.8413, -3.1415]
[-0.6877, -1.5614, 2.7156, -1.1531, 0.8831, -3.1414]
[-0.6509, -1.5329, 2.6853, -1.1514, 0.9199, -3.1414]
[-0.6182, -1.5066, 2.6555, -1.1479, 0.9526, -3.1414]
[-0.5889, -1.482, 2.6261, -1.1431, 0.9819, -3.1413]
[-0.5624, -1.4589, 2.5969, -1.1371, 1.0084, -3.1413]
[-0.5383, -1.4369, 2.568, -1.1302, 1.0325, -3.1413]
[-0.5163, -1.4158, 2.5393, -1.1226, 1.0545, -3.1412]
[-0.4962, -1.3954, 2.5107, -1.1144, 1.0746, -3.1412]
[-0.4776, -1.3758, 2.4822, -1.1056, 1.0932, -3.1412]
[-0.4604, -1.3565, 2.4536, -1.0953, 1.1102, 3.1413]
[-0.4445, -1.3379, 2.4254, -1.0866, 1.1263, -3.1412]
[-0.4296, -1.3196, 2.397, -1.0765, 1.1411, -3.1412]
[-0.4158, -1.3017, 2.3686, -1.0661, 1.155, -3.1411]
[-0.4029, -1.284, 2.3402, -1.0553, 1.1679, -3.1411]
[-0.3907, -1.2666, 2.3117, -1.0443, 1.1801, -3.1411]
[-0.3793, -1.2493, 2.2831, -1.0329, 1.1915, -3.1411]
[-0.3686, -1.2323, 2.2545, -1.0214, 1.2022, -3.1411]
[-0.3584, -1.2154, 2.2258, -1.0096, 1.2124, -3.1411]
[-0.3488, -1.1986, 2.1969, -0.9975, 1.222, -3.1411]
[-0.3398, -1.1818, 2.1679, -0.9852, 1.2312, -3.1411]
[-0.3311, -1.1652, 2.1387, -0.9727, 1.2397, -3.1411]
[-0.323, -1.1486, 2.1094, -0.96, 1.2478, -3.1411]
[-0.3152, -1.132, 2.0799, -0.947, 1.2556, -3.1411]
[-0.3078, -1.1153, 2.0499, -0.9327, 1.2629, -3.141]
[-0.3007, -1.0989, 2.0203, -0.9205, 1.2701, -3.141]
[-0.294, -1.0824, 1.9901, -0.9069, 1.2768, -3.141]
[-0.2876, -1.0658, 1.9597, -0.8931, 1.2832, -3.141]
[-0.2814, -1.0491, 1.9291, -0.8791, 1.2894, -3.141]
[-0.2755, -1.0324, 1.8981, -0.8649, 1.2953, -3.141]
[-0.2699, -1.0156, 1.8668, -0.8504, 1.3009, -3.141]
[-0.2644, -0.9987, 1.8353, -0.8357, 1.3064, -3.141]
[-0.2592, -0.9817, 1.8033, -0.8208, 1.3116, -3.141]
[-0.2542, -0.9646, 1.771, -0.8056, 1.3166, -3.141]
[-0.2494, -0.9474, 1.7383, -0.7901, 1.3214, -3.141]
[-0.2448, -0.9299, 1.7052, -0.7744, 1.326, -3.141]
[-0.2404, -0.9124, 1.6716, -0.7584, 1.3304, -3.141]
[-0.236, -0.8946, 1.6375, -0.7422, 1.3347, -3.1409]
[-0.2319, -0.8766, 1.6029, -0.7255, 1.3389, -3.141]
[-0.2279, -0.8584, 1.5677, -0.7085, 1.3429, -3.141]
[-0.224, -0.8399, 1.5319, -0.6912, 1.3468, -3.141]
[-0.2203, -0.8212, 1.4955, -0.6735, 1.3505, -3.141]
[-0.2167, -0.8021, 1.4584, -0.6555, 1.3541, -3.141]
[-0.2132, -0.7827, 1.4205, -0.637, 1.3576, -3.141]
[-0.2098, -0.7629, 1.3817, -0.618, 1.361, -3.141]
[-0.2065, -0.7428, 1.3421, -0.5985, 1.3643, -3.141]
[-0.2034, -0.7221, 1.3015, -0.5785, 1.3674, -3.141]
[-0.2003, -0.701, 1.2598, -0.5579, 1.3705, -3.141]
[-0.1973, -0.6793, 1.2168, -0.5367, 1.3735, -3.141]
[-0.1944, -0.657, 1.1726, -0.5147, 1.3764, -3.141]
[-0.1916, -0.634, 1.1268, -0.492, 1.3792, -3.141]
[-0.1889, -0.6102, 1.0793, -0.4683, 1.3819, -3.1409]
[-0.1862, -0.5855, 1.0299, -0.4436, 1.3846, -3.1409]
[-0.1836, -0.5597, 0.9782, -0.4177, 1.3872, -3.1409]
[-0.1811, -0.5327, 0.924, -0.3905, 1.3897, -3.1409]
[-0.1787, -0.5042, 0.8666, -0.3616, 1.3921, -3.1409]
[-0.1763, -0.4739, 0.8054, -0.3307, 1.3945, -3.1409]
[-0.174, -0.4413, 0.7396, -0.2974, 1.3968, -3.1409]
[-0.1717, -0.4058, 0.6675, -0.2609, 1.3991, -3.1409]
[-0.1695, -0.3663, 0.587, -0.22, 1.4013, -3.1409]
[-0.1674, -0.3208, 0.4942, -0.1726, 1.4034, -3.1409]
